ActionIndex;EnumName (Fiesta-Heroes-Doku);Status;Details / Zuordnung
0;SAA_NONE;Offen;
1;SAA_STRRATE;Implementiert;-> Buffs.Str
2;SAA_STRPLUS;Implementiert;-> Buffs.Str
3;SAA_WCPLUS;Implementiert;-> Buffs.WeaponDamage
4;SAA_WCRATE;Implementiert;-> Buffs.WeaponDamage
5;SAA_ACPLUS;Implementiert;-> Buffs.WeaponDefense
6;SAA_ACRATE;Implementiert;-> Buffs.WeaponDefense
7;SAA_DEXPLUS;Implementiert;-> Buffs.Dex
8;SAA_TBPLUS;Implementiert;-> Buffs.Evasion
9;SAA_TBRATE;Implementiert;-> Buffs.Evasion
10;SAA_THPLUS;Implementiert;-> Buffs.Aim
11;SAA_THRATE;Implementiert;-> Buffs.Aim
12;SAA_INTPLUS;Implementiert;-> Buffs.Int
13;SAA_MAPLUS;Implementiert;-> Buffs.MagicDamage
14;SAA_MENTALPLUS;Implementiert;-> Buffs.Spr
15;SAA_MRPLUS;Implementiert;-> Buffs.MagicDefense
16;SAA_MRRATE;Implementiert;-> Buffs.MagicDefense
17;SAA_SHIELDAMOUNT;Implementiert;-> Buffs.ShieldAmount
18;SAA_SHIELDACRATE;Implementiert;-> Buffs.BlockRate
19;SAA_NOMOVE;Sonderbehandlung (Crowd Control);CanAct-Sperre (mit 25 kombiniert), x107
20;SAA_SPEEDRATE;Implementiert;-> Buffs.MoveSpeed
21;SAA_ATTACKSPEEDRATE;Implementiert;-> Buffs.AttackSpeed
22;SAA_MAXHPRATE;Implementiert;-> Buffs.MaxHP
23;SAA_MAXSPRATE;Implementiert;-> Buffs.MaxSP
24;SAA_DEADHPSPRECOVRATE;Bedeutung bestaetigt, kein Konsument;Party HP/SP Recovery bei Tod, x13 verifiziert (500-1100)
25;SAA_NOATTACK;Sonderbehandlung (Crowd Control);CanAct-Sperre (mit 19 kombiniert), x149
26;SAA_TICK;Sonderbehandlung (periodisch);TickPeriodic(): Intervall (ms), x418 verifiziert
27;SAA_DOTDAMAGE;Sonderbehandlung (periodisch);TickPeriodic(): periodischer Schaden, x296
28;SAA_CONHEAL;Offen (unbelegt);Kein Vorkommen in ActionIndexA-D in allen 5 SHN-Dateien
29;SAA_CASTINGTIMEPLUS;Bedeutung bestaetigt, kein Konsument;Increased Casting Time, x3 verifiziert (2000-4000ms)
30;SAA_HEALAMOUNT;Sonderbehandlung (periodisch);TickPeriodic(): periodische Heilung, x95
31;SAA_POISONRESISTRATE;Implementiert;-> Buffs.PoisonResistance
32;SAA_DISEASERESISTRATE;Implementiert;-> Buffs.DiseaseResistance
33;SAA_CURSERESISTRATE;Implementiert;-> Buffs.CurseResistance
34;SAA_CRITICALRATE;Implementiert;-> Buffs.CriticalRate
35;SAA_MAXHPPLUS;Implementiert;-> Buffs.MaxHP
36;SAA_MAXSPPLUS;Implementiert;-> Buffs.MaxSP
37;SAA_INTRATE;Implementiert;-> Buffs.Int
38;SAA_FEAR;Sonderbehandlung (Crowd Control);CanAct-Sperre (IsFeared), x26
39;SAA_ALLSTATEPLUS;Implementiert;-> Buffs.Str+End+Dex+Int+Spr
40;SAA_REVIVEHEALRATE;Implementiert;-> Buffs.ReviveHealRatePermille
41;SAA_COUNT;Offen;
42;SAA_SILIENCE;Sonderbehandlung (Crowd Control);Skill-Sperre (IsSilenced) - 0 Datenbelege, rein code-seitig
43;SAA_DEADLYBLESSING;Offen (unbelegt);Kein Vorkommen in ActionIndexA-D in allen 5 SHN-Dateien
44;SAA_DAMAGERATE;Existenz belegt, Wirkung unklar (vollstaendig nachgeprueft);Keine Einzel-Slot-Klarheit gefunden - entweder keine Beschreibung oder nicht darstellbare Kodierung (CJK)
45;SAA_TARGETENEMY;Existenz belegt, Wirkung unklar (vollstaendig nachgeprueft);Keine Einzel-Slot-Klarheit gefunden - entweder keine Beschreibung oder nicht darstellbare Kodierung (CJK)
46;SAA_MARATE;Implementiert;-> Buffs.MagicDamage
47;SAA_HEALRATE;Offen;
48;SAA_DOTRATE;Offen (unbelegt);Kein Vorkommen in ActionIndexA-D in allen 5 SHN-Dateien
49;SAA_AWAY;Bedeutung bestaetigt, kein Konsument;Knockback, x16 verifiziert (Distanz 100-300)
50;SAA_TOTALDAMAGERATE;Existenz belegt, Wirkung unklar (vollstaendig nachgeprueft);Keine Einzel-Slot-Klarheit gefunden - entweder keine Beschreibung oder nicht darstellbare Kodierung (CJK)
51;SAA_DISPELSPEEDRATE;Existenz belegt, Wirkung unklar (vollstaendig nachgeprueft);Keine Einzel-Slot-Klarheit gefunden - entweder keine Beschreibung oder nicht darstellbare Kodierung (CJK)
52;SAA_SETABSTATEME;Widerspruch zu Vermutung;WIDERSPROCHEN: Vermutung war Folge-AbState - echte Belege zeigen Drop-Rate-Bonus
53;SAA_SETABSTATEFRIEND;Existenz belegt, Wirkung unklar (vollstaendig nachgeprueft);Keine Einzel-Slot-Klarheit gefunden - entweder keine Beschreibung oder nicht darstellbare Kodierung (CJK)
54;SAA_SETABSTATE;Existenz belegt, Wirkung unklar (vollstaendig nachgeprueft);Keine Einzel-Slot-Klarheit gefunden - entweder keine Beschreibung oder nicht darstellbare Kodierung (CJK)
55;SAA_AREA;Existenz belegt, Wirkung unklar (vollstaendig nachgeprueft);Keine Einzel-Slot-Klarheit gefunden - entweder keine Beschreibung oder nicht darstellbare Kodierung (CJK)
56;SAA_GTIRESISTRATE;Implementiert;-> Buffs.MissRatePercent (skaliert, geringe Konfidenz)
