# Kingdom Quest runtime-source presence manifest
# SourceArchive	Server.zip
# SourceArchiveSha256	b83bf92c7193578a772fcebf4d8b7c8c2a9a642cf0d50d33506f77a75b0e211d
# ScriptCatalog	World/PineScript.txt
# ScriptCatalogSha256	8ba15c6d7a5d14f1bd01f94a8403d8a9652868e15e0eee7a7730504c7754440c
# ScriptCatalogSemantics	ScenarioBookShelf::sbs_LoadScripts reads table PineScript/ScriptName; sbs_Read tries ScenarioBookShelf/<key>.ps then LuaScript/<key>.lua; MAKE uses sbs_GetScenarioBook
# KQScriptManagerSemantics	Separate loader reads DialogFile from World/PineScript.txt and loads ShineScript text; its 64-entry limit is not the MAKE ScenarioBookShelf capacity
# ArchiveRoot	Server - Kopie/9Data/Shine
# KQRegenLookup	Zone.exe KQRegenTable::kqrt_Load: MobRegen/KingdomQuest/%s.txt -> MobRegen/Instant/%s.txt
# InstantRegenBasenames	AdlF,AdlFH,Leviathan,Siren,Tower01,Tower02,Tower03,UrgDragon,WarN
# Semantics	loader-proven static fallback; KDArena/KDMine/KDSpring are absent in both static paths; Lua is not a KQRegenTable fallback
kind	key	present	archive_path	sha256	size
script	KQ/AntiHenis/AntiHenis	1	LuaScript/KQ/AntiHenis/AntiHenis.lua	4daac87c87db43ff9b497898882ea6b3e39c3874816a1528b763561366c3e96e	1814
script	KQ/EmperorSlime/EmperorSlime	1	LuaScript/KQ/EmperorSlime/EmperorSlime.lua	a681745ced8a528e1b0b7bbafe3501edaced726195e4f721087ef0833cb92975	1833
script	KQ/GoldHill/GoldHill	1	LuaScript/KQ/GoldHill/GoldHill.lua	c9b8a01fe34c369f5ecf2bc31b87390b6d701031f1a7baf52d38411690b00d8e	1661
script	KQ/GordonMaster	1	ScenarioBookShelf/KQ/GordonMaster.ps	02d47b695e1afe3b49000eb5d99af9bbdeb5b74c9e91163b27e0790a0d812d1b	17140
script	KQ/HMiniDragon/HMiniDragon	1	LuaScript/KQ/HMiniDragon/HMiniDragon.lua	fc739c0ae4de6bbcdfc9b3ee3c920b5d2648edc3de4304c04bc7577231e1c478	1727
script	KQ/Honeying	1	ScenarioBookShelf/KQ/Honeying.ps	292e707cf8eb24a25383d65e5f40b883917a6981c84361040e8419ff81c565b2	8078
script	KQ/KDArena/KDArena1	1	LuaScript/KQ/KDArena/KDArena1.lua	e9b5f1874e345d31c5ff189fc9cf38b24ab9fad6e6f299956c85a86ca27efc19	982
script	KQ/KDArena/KDArena2	1	LuaScript/KQ/KDArena/KDArena2.lua	c12b165b062919a08e11eec95797d2400f6cda58c1293e8e021a31fd9a30b564	982
script	KQ/KDArena/KDArena3	1	LuaScript/KQ/KDArena/KDArena3.lua	d4531585d982b0e9bd7729ff7ce0a187ac19f89a775e8594e9a09a90354faaa9	982
script	KQ/KDArena/KDArena4	1	LuaScript/KQ/KDArena/KDArena4.lua	517903e74f6add4a6c36a862abc68fa912d817f7f57804c66d7f60ec459bbb59	982
