# Kingdom Quest ScenarioBookShelf source projection
# SourceArchive	Server.zip
# SourceArchiveSha256	b83bf92c7193578a772fcebf4d8b7c8c2a9a642cf0d50d33506f77a75b0e211d
# ZoneExeSha256	db1cb42912556a4ea5cde5c18f15f2495b81465c70ca9c18ad5bc7e36611aff5
# ScriptCatalog	World/PineScript.txt
# ScriptCatalogSha256	8ba15c6d7a5d14f1bd01f94a8403d8a9652868e15e0eee7a7730504c7754440c
# NativeLoad	ScenarioBookShelf::sbs_LoadScripts reads PineScript/ScriptName and calls sbs_Read for every catalog row
# NativeRead	sbs_Read tries ScenarioBookShelf/<key>.ps first, then LuaScript/<key>.lua; missing both returns false
# NativeInsert	for a present file sbs_Read calls virtual ScenarioBook::sb_Load, ignores its bool return, then inserts key and object into the shelf
# NativeMakeOrder	duplicate handle 0x0982 -> sbs_GetScenarioBook null 0x098C -> KQ container full 0x0983
# Scope	32 KQ/* PineScript catalog rows; all 32 have an exact source file; 27 are used by supplied KingdomQuest.shn
# CanonicalRowsSha256	eb63221fb015069f2d5099b12074ef13564cb473adccceae1163ed2bcaf78195
key	backend	archive_path	sha256	size	used_by_supplied_kq
KQ/KingSlime/KingSlime	lua	LuaScript/KQ/KingSlime/KingSlime.lua	a31a590c78d68a33f8b47d66da194af23d3dfcb1c8d2d72821e510413eab39c5	1814	1
KQ/MaraPirate/MaraPirate	lua	LuaScript/KQ/MaraPirate/MaraPirate.lua	a2a7c7092547037a9341d2e8a14ae34f1cbc154589c462c50169af311bb3a5e0	1730	1
KQ/UnderHall	pine	ScenarioBookShelf/KQ/UnderHall.ps	09aca07eef7f98a452b8b1e51ab8f16f056dae903715b8b6dc39920cd3a4336d	13267	1
KQ/GoldHill/GoldHill	lua	LuaScript/KQ/GoldHill/GoldHill.lua	c9b8a01fe34c369f5ecf2bc31b87390b6d701031f1a7baf52d38411690b00d8e	1661	1
KQ/MiniDragon/MiniDragon	lua	LuaScript/KQ/MiniDragon/MiniDragon.lua	b6c9e8f32d9b3adf26bc28ed506d2cebef7e7159e3578ebd75e153ecb1ba8554	1721	1
KQ/Kingkong/Kingkong	lua	LuaScript/KQ/Kingkong/Kingkong.lua	a6026eac4bc615ffdcb5af3c97b8614d811e3d439e76b13537d24443361ceea1	1481	1
KQ/Honeying	pine	ScenarioBookShelf/KQ/Honeying.ps	292e707cf8eb24a25383d65e5f40b883917a6981c84361040e8419ff81c565b2	8078	1
KQ/UnderHall2	pine	ScenarioBookShelf/KQ/UnderHall2.ps	2d3049c991e3a543fe4db9bcba6cfacb980f2716eb08c2ccd772328c8d00da8d	19225	1
KQ/GordonMaster	pine	ScenarioBookShelf/KQ/GordonMaster.ps	02d47b695e1afe3b49000eb5d99af9bbdeb5b74c9e91163b27e0790a0d812d1b	17140	1
KQ/HMiniDragon/HMiniDragon	lua	LuaScript/KQ/HMiniDragon/HMiniDragon.lua	fc739c0ae4de6bbcdfc9b3ee3c920b5d2648edc3de4304c04bc7577231e1c478	1727	1
